"GeneName","Ensembl","ENTREZID","exp.1","exp.2","avg_log2FC","p_val","p_val_adj","pct.1","pct.2","Description"
"CTBP1-AS2",NA,NA,0.0841648322808944,0.0622358769887339,0.439552720353571,0.0191691018637621,1,0.042,0.024,NA
"POLE","ENSG00000177084",5426,0.0418377984700151,0.0310269317852493,0.439486861481259,0.770387757152237,1,0.015,0.014,"DNA polymerase epsilon, catalytic subunit"
"RP11-596C23.2",NA,NA,0.0442523235092743,0.0328150658117528,0.439157198859689,0.270559926582057,1,0.019,0.013,NA
"NUBPL","ENSG00000151413",80224,0.0938456611657803,0.0694089575667954,0.438837158399837,0.147148392867063,1,0.038,0.027,"NUBP iron-sulfur cluster assembly factor, mitochondrial"
"LRCH1","ENSG00000136141",23143,0.392107322510532,0.289491676537144,0.43860629067195,0.00325992752744346,1,0.155,0.108,"leucine rich repeats and calponin homology domain containing 1"
"RP11-262H14.3",NA,NA,0.0633217084736868,0.0469040034756874,0.4384299606177,0.0567953138032689,1,0.038,0.024,NA
"MIF4GD","ENSG00000125457",57409,0.450881280308079,0.332959157772197,0.438168340390568,0.00216432256101069,1,0.179,0.127,"MIF4G domain containing"
"C4orf33","ENSG00000151470",132321,0.0863982303024343,0.0639482613177782,0.438090291017331,0.00235501165984202,1,0.048,0.024,"chromosome 4 open reading frame 33"
"HELZ2","ENSG00000130589",85441,0.476663625675815,0.352029060055026,0.438001896212769,1.84698610126838e-05,0.453472027583413,0.167,0.1,"helicase with zinc finger 2"
"DTX3L","ENSG00000163840",151636,0.360196121617987,0.266061227726731,0.437983611292694,0.00013657838838785,1,0.143,0.087,"deltex E3 ubiquitin ligase 3L"
"PLEKHA2","ENSG00000169499",59339,0.181822041686516,0.134395910672266,0.437937811215231,0.0464921603033849,1,0.072,0.051,"pleckstrin homology domain containing A2"
"EFCAB2","ENSG00000203666",84288,0.203960645855379,0.150753878081617,0.437790281683387,0.246306531759016,1,0.062,0.05,"EF-hand calcium binding domain 2"
"LMO7-AS1","ENSG00000261105",101927155,0.042755996381733,0.0317431946517909,0.437746396223845,0.010300732732276,1,0.024,0.01,"LMO7 antisense RNA 1"
"OSM","ENSG00000099985",5008,0.0385151222860122,0.0286129657783519,0.437709398810077,0.493566484039365,1,0.014,0.011,"oncostatin M"
"HLA-G","ENSG00000204632",3135,0.0362237040131814,0.026924981897894,0.437512200346299,0.035792549311606,1,0.016,0.007,"major histocompatibility complex, class I, G"
"HSPA12B","ENSG00000132622",116835,0.987762448103914,0.729662362198743,0.437285683461344,7.25612068005592e-08,0.00178152274936733,0.316,0.203,"heat shock protein family A (Hsp70) member 12B"
"CCNF","ENSG00000162063",899,0.0195514530207398,0.0146176602650024,0.43717604620821,0.204193637120894,1,0.01,0.005,"cyclin F"
"CLIP1","ENSG00000130779",6249,0.499131921967084,0.368913247829273,0.436834243708065,4.13240517006086e-05,1,0.221,0.144,"CAP-Gly domain containing linker protein 1"
"GLRX5","ENSG00000182512",51218,0.474748337217394,0.350905645291846,0.436810178733821,2.17001372778437e-05,0.532781770445619,0.223,0.146,"glutaredoxin 5"
"CPA3","ENSG00000163751",1359,0.0564992846222675,0.0419180784263191,0.436786243328219,0.120375201600893,1,0.011,0.005,"carboxypeptidase A3"
"ALG2","ENSG00000119523",85365,0.204145356822745,0.150997278878772,0.436772373364093,0.000200243813153993,1,0.104,0.058,"ALG2 alpha-1,3/1,6-mannosyltransferase"
"RBCK1","ENSG00000125826",10616,1.26006456668147,0.931509679751692,0.436130776355812,9.20854756212143e-08,0.00226088259745205,0.411,0.283,"RANBP2-type and C3HC4-type zinc finger containing 1"
"LIMS2","ENSG00000072163",55679,1.35193621960911,0.999466565598679,0.436053980636268,1.80265768741443e-11,4.42588515413992e-07,0.413,0.259,"LIM zinc finger domain containing 2"
"BATF2","ENSG00000168062",116071,0.273946813749377,0.202710449274766,0.435744879623788,0.000358427889132029,1,0.089,0.049,"basic leucine zipper ATF-like transcription factor 2"
"HAUS7","ENSG00000213397",55559,0.0761474677667623,0.0564898321528378,0.435371830789063,0.0329852547814006,1,0.042,0.025,"HAUS augmin like complex subunit 7"
"TTC23","ENSG00000103852",64927,0.0408278985835732,0.0303744337045186,0.435208071504618,0.0483934157076046,1,0.027,0.014,"tetratricopeptide repeat domain 23"
