"SLCO2A1","SLCO2A1_level","la_score"
0,"-",0.667821479519054
0,"-",0.469329529243937
1.42781341849908,"+",0.441002649276544
2.01685551058656,"+",0.357448542897901
1.87843203544026,"+",0
0,"-",0.283880171184023
0,"-",0.458936213572448
0,"-",0
1.08325160854362,"+",0.183003872019564
2.18733050369102,"+",0.724679029957204
1.83689930522053,"+",0.317505604238842
0,"-",0.177501528428775
0,"-",0.619930711228857
2.86619337374153,"+",0
2.26083196636483,"+",0.72834725901773
0,"-",0.760342368045649
1.95262582117833,"+",0
1.16800634500944,"+",0
1.57971339318672,"+",0.390055023435908
1.5480586557117,"+",0.459547585082535
1.49734649054737,"+",0.371917668636642
0,"-",0
0,"-",0
0,"-",0.561035255757082
0,"-",0.406765844711636
0,"-",0.42225392296719
0,"-",0.438353372732831
