"cytotoxicity_score","inflammatory_score","general_stress_score","PTGDR","PTGDR_level"
0,0,0.463532063101823,0,"-"
0.584268516629259,0.320056423772226,0.483463575965113,0,"-"
0.21689451132422,0.180110620290285,0.378142652266807,0,"-"
0.204754131809835,0.165113775567022,0.314411566716422,0,"-"
0.140226484390941,0.0904636400757266,0.512760851113648,0,"-"
0.654815343807386,0.181855302720962,0.123540258143823,0,"-"
0.0999285860028566,0,0.507580413849621,0,"-"
0.279789838808406,0.206911912097702,0.477200222436854,0,"-"
0.374158335033667,0.118527042577675,0.430766529107033,0,"-"
0.747959600081616,0.312780726827276,0.415839845464922,0,"-"
0.692001632319935,0.181001521957014,0.413498404893611,0,"-"
0.566925117322995,0.170793273692416,0.473468551526327,0,"-"
0.431748622730055,0.221129217862578,0.452805338484503,0,"-"
0.573046317078147,0.181855302720962,0.238622062223783,0,"-"
0.572995307080188,0.26615687293515,0.441039599613662,0,"-"
0.576157926953683,0.0906492445896284,0.0343313723768549,0,"-"
0.230208120791675,0.129737555217343,0.306450668773963,0,"-"
0.116608855335646,0.0475889973644159,0.463839377176808,0,"-"
0.866812895327484,0.229295816474257,0.454722392952264,0,"-"
0.349112426035503,0.28286127918631,0.452702900459508,0,"-"
0.565802897367884,0.174431122164891,0.46555155559458,0,"-"
0.11222199551112,0,0.480814821318816,0,"-"
0.326157926953683,0.132187534800846,0.400796089794246,0,"-"
0.13267700469292,0.151267678829949,0.427503146310768,0,"-"
0.0316261987349521,0.0828538550057537,0.529868001287792,0,"-"
0.173536013058559,0.189279483277033,0.46157110662335,0,"-"
0.460110181595593,0.280337057797246,0.527599730734334,0,"-"
0.641042644358294,0.165744830914288,0.49076594374689,1.0797734269717,"+"
0.412721893491124,0.177586398901221,0.188939620101267,0,"-"
0.296878188124872,0.109246816882587,0.373342699095619,0,"-"
0.323913487043461,0.179182597720777,0.326572423683671,0,"-"
0.155223423791063,0.107316529938008,0.509687710363801,0,"-"
0.545806978167721,0.198522588069342,0.399493663476454,0,"-"
0.472964701081412,0.249044136753406,0.4097081979688,0,"-"
0.220312181187513,0.308251976688073,0.393654696051746,0,"-"
0.660834523566619,0.178365937859609,0.587277197295636,0,"-"
0.0235156090593756,0.0989643268124281,0.370708578452893,0,"-"
0.650326463986941,0.167526634247745,0.294319079813855,0,"-"
0.584574576617017,0.200898325847285,0.348786841103989,0,"-"
0.334370536625179,0.112402093618917,0.486522082711388,0,"-"
0.805600897775964,0.0879394186866625,0.271768080311412,0,"-"
0.661905733523771,0.186569657374067,0.230470922234905,0,"-"
0.411344623546215,0.310813318979918,0.42860069657857,0,"-"
0.477300550907978,0.205724043208731,0.306494570784675,1.56758755884683,"+"
0.435166292593348,0.178068970637366,0.204598003921913,0,"-"
0.115792695368292,0.094472697576005,0.377835338191823,0,"-"
0.25382574984697,0.201789227514013,0.424049521468083,0,"-"
0.588247296470108,0.176658376331712,0.46745397605877,0,"-"
0.331871046725158,0.218233787445711,0.469941756665789,0,"-"
0.652111813915527,0.175544749248302,0.535677700705359,0,"-"
0.21296674148133,0.227291287724117,0.40088389381567,0,"-"
0.529126708834932,0.177920487026244,0.275660725261217,0,"-"
0.206743521730259,0.221203459668139,0.296777592413733,0,"-"
0.396194654152214,0.179182597720777,0.51700471214915,1.58032559746718,"+"
0,0.104272615910019,0.500175608042848,0,"-"
0.179759232809631,0,0.479014838879621,0,"-"
0.416904713323811,0.218308029251271,0.378976790470337,0,"-"
0.542797388288104,0.180704554734771,0.438581087013785,0,"-"
0,0.000408329930583912,0.472956361401352,0,"-"
0,0.164185752997513,0.403035092340563,0,"-"
0.201285451948582,0.291881658561936,0.38136213305236,0,"-"
0.501479289940828,0.184231040498905,0.514092545438581,0,"-"
0.581513976739441,0.184899216748951,0.26563643281529,1.55509256341837,"+"
0.397061824117527,0.116559634730317,0.514136447449293,0,"-"
0.264435829422567,0.0806637217417128,0.392659583808938,0,"-"
0.57018975719241,0.350384201343777,0.244109813562795,0,"-"
0.221689451132422,0.147741193065815,0.381786519155911,0,"-"
0.641399714344011,0.206949033000483,0.358167237392806,0,"-"
0.319883697204652,0.152678273135603,0.444507858459917,0,"-"
0.565598857376046,0.195144585916329,0.448868791523985,0,"-"
0.370587635176495,0.168120568692231,0.532355781894811,0,"-"
0.581462966741481,0.274323471546828,0.275075365118389,0,"-"
0.547133238114671,0.135602657856639,0.481268475429508,0,"-"
0.113446235462151,0.0860462526448643,0.488834255275558,0,"-"
0.538767598449296,0.180815917443112,0.385576726080721,0,"-"
0.63905325443787,0.171015999109098,0.479922147101004,0,"-"
0.553152417873903,0.19002190133264,0.487414756929201,0,"-"
0.514537849418486,0.168937228553398,0.37736705007756,0,"-"
0.741481330340747,0.180518950220869,0.440761553545819,0,"-"
0.448734952050602,0.176064441887227,0.426156817982264,0,"-"
0.371556825137727,0.257507702587327,0.340767407147247,0,"-"
0.448734952050602,0.221982998626527,0.342201539497176,0,"-"
0.660783513568659,0.169271316678422,0.282494804928732,0,"-"
0.0431544582738217,0.0881621441033446,0.272382708461381,0,"-"
0,0.132373139314748,0.436883542599584,0,"-"
0.474035911038564,0.0885704740339285,0.48025872918313,0,"-"
0.221077331156907,0.0898325847284606,0.623964644247373,0,"-"
0.132370944705162,0.0836333939641412,0.251734129423128,0,"-"
0.56508875739645,0.125171684175359,0.363098896596131,0,"-"
0,0.0391254315304948,0.499048789767905,0,"-"
0,0.0215301236126063,0.331665056926274,0,"-"
0.423076923076923,0.263409926129403,0.495961015014488,0,"-"
0.155937563762497,0,0.383688939620101,0,"-"
0.215976331360947,0.207951297375552,0.273670500775602,0,"-"
0.728881860844726,0.265711422101785,0.24213422308075,0,"-"
0,0.211032332306322,0.549009277958264,0,"-"
0.428228932870843,0.133264040981477,0.386864518394943,0,"-"
0.41200775351969,0.178291696054048,0.390727895337606,0,"-"
0.648847174046113,0.0881992650061249,0.170120291509351,0,"-"
0.111252805549888,0.138423846467946,0.301928761670618,0,"-"
0.173331973066721,0.086120494450425,0.324304153130213,0,"-"
0.429096102836156,0.19933924793051,0.421532472853923,0,"-"
0.551265047949398,0.274137867032926,0.373020751017063,1.53193700851449,"+"
0.587788206488472,0.181187126470916,0.424795855650189,0,"-"
0.113905325443787,0.0907234863951891,0.411581350425849,0,"-"
0.381911854723526,0.227365529529678,0.420083706500424,0,"-"
0.0746276270148949,0,0.408054555565312,0,"-"
0.843858396245664,0.234752589182969,0.385620628091433,0,"-"
0.118292185268313,0.0866030661865697,0.451254134106009,0,"-"
0.647214854111406,0.176509892720591,0.31836274768051,0,"-"
0.672770863089165,0.188091614388062,0.160139901074136,0,"-"
0.0347378086104877,0.174579605776012,0.424430005560921,0,"-"
0.70414201183432,0.176769739040053,0.271226622179296,0,"-"
0.331820036727199,0.312817847730057,0.424108057482366,0,"-"
0.353193225872271,0.0884591113255874,0.273143676647057,0,"-"
