,p.value,statistic.W,mean_case,mean_control,p.adjust,log2FC
CAP.232..TT.232..TLN.232_436,9.41404694365097e-09,39758,11885.5115311464,184.342063060468,5.1585367679824e-07,6.01067488359016
CD532_449,0.00119672975913221,25356,8.12214852432707,3.05373161101965,0.00731999702669203,1.4112881382194
SB505124_476,0.012929223465978,26565,77.0520074845083,99.4531824861775,0.0416230264211747,-0.368184993139013
LDN.193189_478,5.93374324160951e-05,36991,12.0851437877959,3.48924851584681,0.000622195362763054,1.79224637841465
FTY.720_546,4.9529561711492e-05,37059,24.3292747272664,12.9696621019343,0.000534627916121105,0.907552419561417
AGI.6780_562,0.0120719641261352,26526,5.02462174156977,6.50281632928182,0.0400548065376891,-0.372049682838833
Cisplatin_1005,2.75853547869671e-05,23828,17271045.0279413,5626531897056863,0.000374956489141368,-28.2793153221508
Cytarabine_1006,1.02691815550233e-07,22017,126.612971803694,638.665271956127,3.76878963069356e-06,-2.33463478478378
Docetaxel_1007,0.0151680879305756,26657,1118499273888449152,13.8439282664137,0.0463890689210104,56.1650885617299
Refametinib_1014,0.0161882508542175,34408,64.1011541784936,54.8508394915037,0.0483015289715269,0.224836632410221
Olaparib_1017,0.013530239995648,26591,85.2528928998561,69.2186872248743,0.0424410092171181,0.300587210004789
Veliparib_1018,0.00159897022094659,25490,49.5271329645889,63.8605577701162,0.00867172399693714,-0.366706045328285
Lenalidomide_1020,0.000959914017508097,25256,56.6443933048668,83.8560072395674,0.00609311226209262,-0.565980974326417
Axitinib_1021,0.000279974708026775,24725,25.6111916375221,33.124460543821,0.00222348134875844,-0.371122579193948
GW441756_1023,0.000106846365529513,24338,15.8548885113668,16.8215006622725,0.000980315403733282,-0.0853786828344949
VX.702_1028,0.00407429379077822,25945,24.3241694664233,28.5728035283273,0.0189274154584254,-0.232252052755644
KU.55933_1030,1.18247245574101e-06,22760,57.4214529730187,80.0404431537815,2.552749360335e-05,-0.479139318450554
Elesclomol_1031,0.000748010473418199,25013,282.16702845595,16327629.3776005,0.00499126988626326,-15.8204063972234
Afatinib_1032,0.00159440324481675,24830,3.93761226721465,5.38223968226311,0.00867172399693714,-0.450885581122876
Vismodegib_1033,0.00743871751443011,26259,103.611241165051,179.694167791817,0.0296740144325636,-0.794363050248755
SL0101_1039,4.70047833455109e-07,22472,119.094874804748,214.565987035089,1.23219682055732e-05,-0.849310069643726
Wee1.Inhibitor_1046,0.0105449347948788,26450,8.95596579757884,8.90186120060156,0.0365748618962422,0.00874201240643827
Nutlin.3a...._1047,0.00686482136207687,23698,135.458422923683,157.106192795944,0.0276855982404639,-0.213889945385903
Mirin_1048,1.95863473300005e-08,21546,156.614628823802,248.00038654884,8.98523683763773e-07,-0.663123393275764
ZM447439_1050,8.91347927774239e-06,23428,80.1041606281688,874.078260590653,0.000172170889206919,-3.4478133736003
RO.3306_1052,3.23349171436342e-05,23886,41.2418096416103,43.4924997772735,0.000423818378275491,-0.0766589937640445
SB590885_1061,2.21487312362853e-07,22244,43.7057784385814,65.7066647027302,7.38962214883338e-06,-0.588215677920574
Selumetinib_1062,0.00160674995038617,35214,24.3462107645282,17.0979343930182,0.00867172399693714,0.509875206058952
AZD6482_1066,0.0105071816643962,34655,17.7926857517683,23.359481193877,0.0365748618962422,-0.392723935339455
EHT.1864_1069,0.00948054799631426,26391,153.14638237121,127.741131258692,0.0342735909970463,0.26168815595203
PF.4708671_1129,0.000772374018788563,25159,55.9179189011699,66.3172571595894,0.00506180830170362,-0.246073670211366
