,p.value,statistic.t,mean_case,mean_control,p.adjust,log2FC
ACY.1215_264,0.00531929636742681,2.82892262576321,6.15646700867095,4.92782847606091,0.008873553485662,0.321150633037653
Tubastatin.A_265,0.000266807858948465,3.71433676057012,107.028287234606,90.3284818067985,0.00065278989489391,0.244739280669362
Zibotentan_266,0.000125558199393931,3.91048602880515,256.052429879927,239.729698063262,0.00034908984225434,0.0950306067872443
NSC.207895_269,0.0136014107078796,2.49295576522355,62.0371586595019,54.4892290320537,0.0208858482418068,0.187161533185041
VNLG.124_271,8.04022328247282e-07,5.08347459886305,56.0053581455065,48.0788646000057,5.00129143163987e-06,0.220162032636263
AR.42_272,1.14059858121684e-05,4.55151662212121,0.773928673914442,0.553108862738363,4.75681453757476e-05,0.48463715293544
CUDC.101_273,5.82472971362826e-05,4.13069505623077,0.750500610023479,0.586803117485197,0.000181158966517082,0.354976708921571
Belinostat_274,3.28260713383314e-05,4.28702716469911,1.22873748035719,0.913495259459564,0.000116962797875414,0.427707569790817
I.BET.762_275,8.37953202603283e-07,5.09344814618472,58.5246880835184,42.7775208669334,5.12548042259008e-06,0.452192465467491
CAY10603_276,1.67854024494671e-06,4.99605298907965,2.57018620768886,1.81711702037842,9.20146057035859e-06,0.500221554599142
Linifanib_277,2.3808010027423e-10,6.67048457332889,12.1720538228632,10.5242049097266,1.24821995429489e-08,0.209861374708315
BIX02189_279,1.37122720398854e-06,4.97634041040629,87.7193242512625,72.6858914971981,7.74215975175068e-06,0.271219337393058
Omipalisib_283,0.000239833140025009,3.7777768272676,0.0690482076730554,0.0484391494435485,0.000598767091082845,0.511430433471181
KIN001.236_286,3.576077824527e-05,4.22980311909895,86.6261950819519,74.588283699137,0.000122766675188418,0.21585432033345
KIN001.244_287,3.84331607914007e-06,4.75305391049876,29.7618751828072,25.139695832072,1.93218767266357e-05,0.243498233510062
KIN001.260_290,0.000136316180361398,3.8898960152599,125.800832409548,107.483521942613,0.000373343568601739,0.227025967964912
Masitinib_292,0.000723348623817069,3.43488632918752,43.6904374158941,37.3551706585771,0.00157770509888002,0.226009596716405
NVP.BHG712_295,6.79017941315681e-05,4.07797134384718,28.5585140878038,22.4044493037027,0.000209411415515004,0.350135651446417
OSI.930_298,4.88058979968467e-05,4.16585897049961,68.2376774642349,58.0452527073979,0.000157120741796866,0.23339046439156
OSI.027_299,0.0010280585759309,3.35667211270363,4.13697463520022,2.68522273422445,0.00213162427890758,0.623534350044573
CX.5461_300,0.000752209177350784,3.42562324623676,31.2692830010177,24.8823324037885,0.00161439045665344,0.329624412696229
PI.103_302,0.00378251459954901,2.95900785278984,5.95088567875808,2.30350375482235,0.00657906567788856,1.36927445314365
PIK.93_303,3.07217748279138e-07,5.32275608106446,19.7439511441975,14.1273418415633,2.28276008513188e-06,0.482920691682092
TPCA.1_305,0.000387468739142923,3.62859425923104,26.2835149741024,19.9975839106159,0.000894346083430521,0.394332519078491
Fedratinib_306,5.99295538130585e-08,5.6364353669724,12.2089751322942,9.26220672505217,6.52219371044569e-07,0.398514237797306
Foretinib_308,1.9466595735966e-07,5.39168114288195,1.46240814524173,1.08226407409084,1.62369105343171e-06,0.434293449058856
Y.39983_309,9.63976951498555e-05,3.97695630178076,99.4771687361286,83.0734806407527,0.000283023632959976,0.259977444738484
YM201636_310,0.0218195362796644,2.31205874626326,10.144729381938,9.20108458003896,0.0322893944138582,0.140854546336617
Tivozanib_312,4.63497818953941e-09,6.11895348671445,1.59460527781586,1.36665157875954,8.95282629242612e-08,0.222553867581914
WYE.125132_317,0.0283178565688139,2.21709946807239,1.01547958440366,0.745761415799206,0.0409159581132075,0.445375173418191
SNX.2112_328,0.00207681617925224,3.12945575836919,0.630108828093364,0.460214731893828,0.00390867455274652,0.453293856280184
QL.XI.92_329,2.16906740460226e-06,4.89766562858158,58.6492214656799,44.8748733550351,1.16489650167004e-05,0.386204090046404
XMD13.2_330,0.00160506210078456,3.20099031104367,36.3708776009915,30.2736354048033,0.00316697737090288,0.264721805944739
QL.X.138_331,0.00115596173298859,3.32008430216948,5.54697593752497,4.10029659191196,0.00238335930340906,0.435973197364877
XMD15.27_332,3.50317228015337e-05,4.23009713533747,117.11377423648,103.235681062372,0.000122766675188418,0.181969075521729
T0901317_333,0.000211709980943365,3.76901295104274,94.3866576513513,83.023741034178,0.000535845262111827,0.185058995936816
Selisistat_341,0.00774850555265004,2.69056225235636,243.603596690442,228.510290348179,0.0126950961509936,0.0922762994540404
Tenovin.6_342,0.000573636588545555,3.51602291721325,8.07829801272399,7.18563771673334,0.00129156213494613,0.16893516899261
KIN001.270_345,0.000678840649730954,3.45571800189404,151.492129451871,134.779983463005,0.00150081035211602,0.168636588654838
THZ.2.102.1_346,7.12241241574074e-05,4.08240831766167,0.234312271708181,0.160981489790541,0.000217827113048071,0.541537703085976
AT7867_356,0.000852556249381028,3.39308534372591,26.7305353438104,21.8871604421742,0.00179302647778837,0.288403934504076
