,p.value,statistic.W,mean_case,mean_control,p.adjust,log2FC
PD0325901_1060,1.58781925601236e-06,2164,0.859939058710285,0.390516660642205,5.82729666956535e-05,1.13885032449791
Selumetinib_1062,7.1278617209911e-07,2189,17.4058155825737,12.1097720219274,3.26990656450466e-05,0.523397710693718
AZD6482_1066,0.000527507063257306,1953,13.793876791363,10.4045684109371,0.00411904451522194,0.406810863339333
EHT.1864_1069,3.34049576814087e-05,747,38.634388716323,47.4627190052208,0.000663289352695505,-0.296909179401153
BMS.536924_1091,0.009306663553192,1816,10.9025609090139,8.93239845608729,0.0310504138547406,0.287547536910231
Cetuximab_1114,0.0103873624495326,1810,511.638513006098,456.737244296135,0.0343438019727789,0.163760427533885
PF.4708671_1129,0.000243865827536144,823,45.9343743083386,51.5054313882811,0.00229341336862687,-0.165150399191981
Capivasertib_1136,0.0126617838979046,1799,29.7993989807282,20.7265160597961,0.0397168776968459,0.523805600680719
HG.5.88.01_1143,0.000210113549138424,1991,34.7233265276644,25.3242248153352,0.00229341336862687,0.455387057729269
TW.37_1149,0.0164692690038351,1024,0.549647434663407,0.62531135335863,0.0487437235839314,-0.186068197186148
XMD11.85h_1158,0.0120014303868,1802,51.0151553052425,44.0980991581497,0.038978096919961,0.210209428791647
ZG.10_1161,0.0133540995879632,1796,3.97386085258508,3.47452813323435,0.0408412879065209,0.193724294111973
XMD8.92_1164,0.006515288618081,1835,21.7368899164065,19.1388643867254,0.023674365572631,0.183640306963221
KU.60019_1185,0.000607001183957828,861,21.6242581221489,25.0702954099597,0.00445538869025046,-0.213328357834394
SB505124_1194,0.000210113549138424,817,67.201128043886,78.17088487663,0.00229341336862687,-0.218145918434026
X.5Z..7.Oxozeaenol_1242,0.000129919512431038,2010,3.67293515953403,2.14861908730063,0.00183386388700734,0.773523686798214
UNC1215_1262,0.00170245415269968,907,10.938703278479,11.9303630200492,0.00961231806216591,-0.125196217470074
UNC0642_1263,0.00758295360142619,981,5.45314278816377,5.89673768381304,0.0267590766511867,-0.11282908505287
Trametinib_1372,0.00193625598189185,1895,1.38481780655502,0.457550000616838,0.0102986368891929,1.59769486727256
Temozolomide_1375,0.0128889416901582,1010,271.712296985821,301.044904049431,0.04008679322278,-0.147898836715414
Doxorubicin_1386,0.000800477644283405,1935,0.180543414288449,0.169981178733339,0.00524598741878589,0.0869707838806453
EphB4_9721_1413,0.000176289489745094,1998,13.0313364557285,8.28239400030823,0.00229341336862687,0.653865310429855
AZD8931_1416,0.000666045317811078,1943,8.91450939945796,5.97056220709204,0.004612049653522,0.578288616216441
MCT1_6447_1436,0.000243865827536144,823,66.6614413504225,80.6814518964469,0.00229341336862687,-0.275384534417725
AZD8186_1444,5.31093975364732e-07,2198,8.26411811404305,5.96325554933281,2.78444984226938e-05,0.470760710583002
AZD8835_1445,0.000697530152180986,1941,17.1421636439934,13.2247109489776,0.00465442847000767,0.374313024692635
PI3Ka_4409_1446,0.0050659353938315,1848,13.1475401416537,10.8087843251366,0.0206081738764508,0.282588630784302
AZD1208_1449,0.00459104268744863,955,32.2236765368281,36.8032658065119,0.0203001526059476,-0.191712685529169
TANK_1366_1461,0.00450104757754222,1854,16.8040361532185,14.7992200387593,0.0201449324507072,0.183286651140512
AZD1332_1463,0.00170245415269968,1901,8.6398627151481,6.9375760292489,0.00961231806216591,0.316576711570109
Selumetinib_1498,0.000194932270293432,1994,11.6714114933326,6.11376966951773,0.00229341336862687,0.932844939111396
Refametinib_1526,0.00558480204179091,1843,11.5699710321316,5.76168830934263,0.021804493078056,1.00582173026162
Pictilisib_1527,6.42504194338036e-08,2260,2.4044203169621,2.19945109078089,1.15580754786765e-05,0.128545595384448
