Sender,Metabolite,Metabolite_Name,Receiver,Sensor,Commu_Score,metabolite_prop_in_sender,sensor_prop_in_receiver,Annotation,ztest_stat,ztest_pval,ttest_stat,ttest_pval,ranksum_test_stat,ranksum_test_pval,permutation_test_stat,permutation_test_pval,ztest_fdr,ttest_fdr,ranksum_test_fdr,permutation_test_fdr
Endo,HMDB0000030,Biotin,B,SLC5A6,0.046929713,0.075462743,0.025,Transporter,-250.9377433,0,-7.931383497,2.89E-15,-1.730321351,0.041786439,0,0,0,2.31E-14,0.12528449,0
Endo,HMDB0000030,Biotin,Epi,SLC5A6,0.062173106,0.075462743,0.0795,Transporter,-378.8187635,0,-11.97331597,2.88E-31,-1.730321351,0.041786439,0,0,0,3.59E-30,0.12528449,0
Mast,HMDB0000030,Biotin,Epi,SLC5A6,0.028091234,0.028694405,0.0795,Transporter,-139.4070997,0,-4.406237001,5.83E-06,-1.730321351,0.041786439,0,0,0,2.58E-05,0.12528449,0
Fibro,HMDB0000030,Biotin,Epi,SLC5A6,0.028397025,0.060722348,0.0795,Transporter,-161.1783356,0,-5.094359957,2.09E-07,-1.730321351,0.041786439,0,0,0,1.05E-06,0.12528449,0
B,HMDB0001358,Retinal,Fibro,RARA,0.064285581,0.167833333,0.189164786,Nuclear Receptor,-504.3179944,0,-15.93996728,1.94E-51,-1.730321351,0.041786439,0,0,0,3.27E-50,0.12528449,0
Endo,HMDB0000169,D-Mannose,NK,SLC2A1,0.07235543,0.416706217,0.045333333,Transporter,-142.5080646,0,-4.504249128,3.72E-06,-1.730321351,0.041786439,0,0,0,1.68E-05,0.12528449,0
Fibro,HMDB0000169,D-Mannose,Fibro,SLC2A1,0.081965355,0.555981941,0.063656885,Transporter,-253.8364741,0,-8.023003615,1.44E-15,-1.730321351,0.041786439,0,0,0,1.16E-14,0.12528449,0
T,HMDB0000169,D-Mannose,Epi,SLC2A1,0.084514637,0.257,0.2275,Transporter,-322.5639484,0,-10.19527132,1.37E-23,-1.730321351,0.041786439,0,0,0,1.43E-22,0.12528449,0
Endo,HMDB0000169,D-Mannose,Endo,SLC2A1,0.085310907,0.416706217,0.056953014,Transporter,-193.7585774,0,-6.124122912,6.55E-10,-1.730321351,0.041786439,0,0,0,3.94E-09,0.12528449,0
Oligo,HMDB0000169,D-Mannose,Fibro,SLC2A3,1.68619385,0.630534351,0.428216704,Transporter,-712.4407279,0,-22.51809774,1.93E-91,-1.730321351,0.041786439,0,0,0,5.13E-90,0.12528449,0
Oligo,HMDB0000169,D-Mannose,T,SLC2A3,1.780155967,0.630534351,0.370333333,Transporter,-769.9298547,0,-24.33515526,2.17E-103,-1.730321351,0.041786439,0,0,0,6.39E-102,0.12528449,0
Fibro,HMDB0000169,D-Mannose,NK,SLC2A1,0.127944597,0.555981941,0.045333333,Transporter,-621.6826315,0,-19.64950867,3.09E-73,-1.730321351,0.041786439,0,0,0,6.88E-72,0.12528449,0
