B	CD4+ T	CD8+ T1	CD8+ T2	CD8+ T3	DNAJB1+PTGDR+ NK	Endo	Epi	Fibro	KLRC2+PTGDR+ NK	Mast	Myeloid	Oligo	pDC	PTGDR- NK	PTGDR+ NK1	PTGDR+ NK2	PTGDS+PTGDR+ NK
GSM1019190	0.0763930222383588	-0.21240220019157	0.0893890193577376	-0.203441577406627	-0.40355079517712	-0.117081399906756	0.241927931819036	-0.300549203126242	0.162667537669743	-0.315488123710353	0.155112517481441	0.0230714803202523	-0.370294735786871	-0.271148518389076	0.222967646519765	-0.135431764412277	-0.0747353782189683	-0.292342404112905
GSM1019192	0.135852375563141	-0.151825071043471	0.191713588610109	-0.169064347066244	-0.403117122611485	-0.113015908633446	0.168170846508474	-0.277607061377119	0.19992868997559	-0.195143819214854	0.03531124391543	0.0634129940294286	-0.325842347435073	-0.277823116211197	0.306450386194979	-0.0372254879731882	0.0435676165758059	-0.271354157719697
GSM1019194	-0.019918171618052	-0.239357619767914	0.0356891361684792	-0.27954002747969	-0.368222982898432	-0.0381771359300528	0.068993647481682	-0.327150742644321	0.187886906325116	-0.263624928348902	0.0706070275039676	0.119730427488295	-0.301318293051809	-0.221364479831512	0.160941776871824	-0.184759176242597	-0.0702748299059235	-0.243815052319235
GSM1019196	-0.174563822501433	-0.302182833313712	-0.122458132366674	-0.296945954017427	-0.477663699963089	-0.22768015000878	0.193116069671291	-0.357224655327993	0.0926202331620243	-0.220482255313039	-0.0349728795368519	-0.00901159092872043	-0.432675144099679	-0.24911478957242	0.0147435274091818	-0.204075793047385	-0.196834280423144	-0.342697735491041
GSM1019197	-0.275809110582167	-0.188245593193602	-0.0822533900968471	-0.263716927977885	-0.452578791613543	-0.177685649228533	-0.0210935662285258	-0.280017150543542	-0.0354259849623028	-0.241278680378671	-0.205539693372459	-0.14902554079044	-0.408135232705972	-0.249058403811361	0.0856688402650208	-0.353086963912165	-0.259062874111833	-0.235180223793161
GSM1019200	-0.183857838244247	-0.257779697976582	-0.0272277347409563	-0.354614747909246	-0.438694264265784	-0.168760559686688	-0.0256614466026927	-0.318333276335027	-0.00561147599881619	-0.180128803109601	-0.218822855095359	0.109706521234965	-0.407739281247588	-0.302241448458105	0.081235167008977	-0.21720242272755	-0.14937418152429	-0.248731358194925
GSM1019203	-0.186193365450454	-0.227676128605032	0.00207541671903176	-0.214368713309072	-0.390783106678168	-0.137793018062852	0.0817463607163839	-0.348790533981148	0.0206178704955987	-0.299991692852543	-0.0828530583907313	0.0863635979019692	-0.423234196959187	-0.29393666229352	0.196842977699368	-0.166349649009597	-0.0706027217895939	-0.316518103154753
GSM1019204	-0.217297084104169	-0.209719065844921	-0.104514324123719	-0.372533982297823	-0.382866074424853	-0.120743912741851	0.0257058862442596	-0.291979727585979	-0.119795477948033	-0.329852997469408	-0.0415676645449891	-0.12161690781258	-0.397785899739723	-0.248768053300814	-0.0218774051934839	-0.254527584918202	-0.192283261880162	-0.363079203872692
GSM1019205	-0.0067799690302347	-0.179068766929281	0.181247877719985	-0.207958324093861	-0.431455031969436	-0.105923959701786	0.211288440658921	-0.326053788568578	0.160217056997933	-0.247553885915361	-0.0195451913839522	0.274038219409276	-0.370938006387844	-0.282927060530822	0.2945276242159	-0.0997309440553086	-0.0253243365162394	-0.27307687687765
GSM1019207	-0.0824640638613856	-0.221250835063755	0.178925194981777	-0.0838018176983477	-0.309689124793071	-0.0175731341445433	-0.0377346525239325	-0.253726382581743	0.0110108863958596	-0.151570931305448	-0.101262563025975	-0.0930926311002827	-0.363603942625374	-0.275720880139195	0.336358406754852	-0.0055027817099636	-0.0510059028825976	-0.303358117800359
