HOT_score	Phenotype	PDL1	HPGDS	PTGDS	PTGDR	SLCO2A1
TCGA-49-4486_T_LUAD	-0.670884004952069	Cold	1.2213	0.7325	1.039	0.0902	10.0601
TCGA-91-6847_T_LUAD	-0.681923780326411	Cold	5.3984	0.3502	0.0681	2.4859	4.0972
TCGA-05-4249_T_LUAD	-0.251636677435246	Cold	7.3737	29.6105	3.2151	0.483	48.5798
TCGA-91-A4BC_T_LUAD	0.580286423989913	Hot	4.5053	0.579	1.1374	3.3034	10.2961
TCGA-55-7570_T_LUAD	-0.66655898835217	Cold	3.0965	0.6479	0.4287	0.2693	10.1778
TCGA-50-5049_T_LUAD	0.915895448600355	Hot	9.5226	3.0885	5.2713	1.1775	23.5782
TCGA-86-8672_T_LUAD	0.463659446432311	Hot	13.6531	0.6269	0.5255	0.6679	12.5278
TCGA-50-5066_T_LUAD	-0.610187492253731	Cold	5.7771	1.1224	0.8736	0.9175	44.5993
TCGA-55-7727_T_LUAD	0.383011412495359	Hot	10.8582	3.5102	0.6429	0.6197	32.8166
TCGA-86-8674_T_LUAD	-0.747644336629841	Cold	2.6966	0.3229	0.5027	0.2237	13.0469
TCGA-53-A4EZ_T_LUAD	-0.695655205026317	Cold	4.2974	1.6725	1.0635	0.3263	5.936
TCGA-69-7761_T_LUAD	0.759233390685457	Hot	9.9079	4.6376	1.4588	2.2879	12.2023
TCGA-50-5942_T_LUAD	-0.199043323851496	Cold	3.733	12.6595	2.3478	0.4413	43.6937
TCGA-69-A59K_T_LUAD	-0.247933180196627	Cold	78.4641	1.7045	0.9287	0.4722	22.6797
TCGA-44-2666_T_LUAD	-0.646833161219446	Cold	8.0125	6.1166	1.483	0.7118	3.3958
TCGA-50-5944_T_LUAD	-0.570525384714737	Cold	3.8701	13.4092	1.7158	0.2226	41.3138
TCGA-50-6592_T_LUAD	0.549730422655639	Hot	10.9073	1.0747	0.915	0.5582	8.8224
TCGA-62-8395_T_LUAD	-0.553117861299506	Cold	1.7898	3.6808	1.9409	0.7675	227.9196
TCGA-05-4410_T_LUAD	0.767991616936735	Hot	10.1053	1.7351	2.2886	0.4006	10.5378
TCGA-55-6975_T_LUAD	-0.461112056113547	Cold	1.9528	1.0524	1.0467	0.7693	31.3419
TCGA-73-4662_T_LUAD	0.394632379050451	Hot	16.2943	3.9042	4.1615	0.6699	42.5273
TCGA-49-6767_T_LUAD	0.418964133883933	Hot	29.2568	1.4932	0.2999	0.6005	3.5103
TCGA-44-A47G_T_LUAD	0.7280244778876	Hot	20.9882	8.0171	1.8918	1.5958	32.8798
