HOT_score	Phenotype	PDL1	HPGDS	PTGDS	PTGDR	SLCO2A1
GSM1019302	0.522751298518793	Hot	7.529375063	8.111004082	11.2789112456667	4.02179563133333	9.342473545
GSM1019303	-0.572516008156321	Cold	7.1350154405	5.544186303	8.728036268	3.85028748333333	8.23437667
GSM1019305	-0.360791075742542	Cold	6.2799585925	5.47692054	7.99740171333333	4.02853398333333	9.144069574
GSM1019308	0.402234810824901	Hot	7.345723392	9.22917987	10.0603090993333	4.49666593566667	8.097716017
GSM1019309	0.613923600648696	Hot	7.473415619	6.666342545	9.45400023133333	4.02284479966667	8.490196174
GSM1019310	-0.427091783703746	Cold	6.113924992	7.381813389	9.80065318933333	3.98539222	8.877105307
GSM1019311	0.691490849424262	Hot	7.8557166295	7.395870932	9.59566497533333	4.39053054633333	9.803739428
GSM1019312	0.464007861364358	Hot	7.2678792915	7.195633261	8.961576086	4.094331173	7.924403423
GSM1019313	-0.407200012005508	Cold	6.3127217915	5.402041481	9.16793137766667	4.02387969	8.336616254
GSM1019314	0.764843126795905	Hot	8.6334638565	8.05846597	8.25951530133333	4.55883435233333	6.562058806
GSM1019316	0.0425863655134809	Hot	6.8351873845	5.272903009	9.578295324	3.88884467233333	6.245843315
GSM1019318	-0.452946442739122	Cold	5.908770914	6.454165777	8.876485944	4.12510580533333	8.826570589
GSM1019320	-0.582485169157567	Cold	5.682751603	6.927399324	10.067936785	3.99943015066667	8.922793776
GSM1019321	0.550431071720364	Hot	9.2515616385	5.186651604	9.94126498566667	4.305863896	7.57907937
GSM1019324	0.0889470684760616	Hot	8.6978197535	7.908349402	9.577568678	4.02052959866667	9.597555442
GSM1019328	-0.378373332217523	Cold	6.9936296995	8.226051335	8.953591849	4.39616674666667	7.325719169
GSM1019330	-0.128020696743304	Cold	6.601831102	5.024459124	8.55522703166667	4.11238842833333	8.303076557
GSM1019332	0.551109006572615	Hot	7.1623143985	6.125016119	9.89289050266667	4.18916085566667	8.416015832
