SLCO2A1	PTGDR	PTGDS	HPGDS
TCGA-05-4417_T_LUAD	52.796	1.05	3.8818	3.9497
TCGA-75-5146_T_LUAD	45.3536	0.8174	5.7033	4.3765
TCGA-62-A46O_T_LUAD	3.8481	0.1711	0.032	0.1235
TCGA-97-8552_T_LUAD	26.0793	0.9074	4.3125	9.2089
TCGA-MP-A5C7_T_LUAD	27.1733	0.4225	0.4964	1.747
TCGA-86-8074_T_LUAD	138.0289	0.293	0.7973	10.9777
TCGA-97-7937_T_LUAD	56.9681	0.1136	0.3406	2.4888
TCGA-97-8175_T_LUAD	156.8828	0.1373	0.7524	11.6235
TCGA-97-A4M7_T_LUAD	144.3505	0.9012	3.2706	12.7407
TCGA-05-4420_T_LUAD	31.4039	0.2118	6.428	0.3381
TCGA-91-8497_T_LUAD	27.1538	1.4971	7.6209	9.4091
TCGA-38-4632_T_LUAD	19.0366	0.2491	1.3196	13.0483
TCGA-69-7979_T_LUAD	91.4189	0.2556	0.2514	0.8534
TCGA-78-7163_T_LUAD	39.5498	0.1666	0.208	1.3096
TCGA-86-7701_T_LUAD	13.2476	1.3618	1.0203	1.6683
TCGA-67-3770_T_LUAD	31.4442	0.4688	1.3171	10.2652
TCGA-38-4629_T_LUAD	50.3284	0.2421	0.4726	11.4432
TCGA-55-6972_T_LUAD	9.2273	0.1304	0.9773	0.3766
TCGA-MP-A4TA_T_LUAD	7.4668	0.6321	2.4978	0.265
TCGA-50-5931_T_LUAD	16.9561	0.1975	0.7548	0.4563
TCGA-55-7994_T_LUAD	17.0541	1.1087	4.2498	1.2291
TCGA-55-7724_T_LUAD	31.4461	1.1003	0.795	5.8443
TCGA-55-7725_T_LUAD	25.2215	1.1235	0.4546	14.7299
TCGA-MP-A4SY_T_LUAD	51.0046	0.4782	0.6223	4.8329
TCGA-97-7546_T_LUAD	27.0933	0.9202	4.5963	9.6691
TCGA-78-7154_T_LUAD	42.7895	0.4173	1.8449	1.8881
TCGA-73-4659_T_LUAD	50.2321	0.3131	3.6408	2.1515
TCGA-50-5068_T_LUAD	11.894	0.7745	4.2795	11.5082
TCGA-69-7980_T_LUAD	73.9271	0.4819	3.5201	3.9756
TCGA-73-7498_T_LUAD	81.7616	0.7242	6.295	5.2279
TCGA-86-8585_T_LUAD	7.3671	0.9776	7.303	1.1624
TCGA-78-7542_T_LUAD	6.6737	0.2742	0.3082	1.1644
TCGA-05-4250_T_LUAD	81.6784	0.7086	0.5449	3.527
TCGA-44-6776_T_LUAD	25.695	0.3859	1.4983	2.8366
TCGA-38-4630_T_LUAD	9.2599	0.5649	5.291	0.6021
TCGA-05-4418_T_LUAD	5.952	0.3509	0.9983	1.0767
TCGA-55-8085_T_LUAD	14.3644	0.8899	1.746	0.6751
TCGA-55-7995_T_LUAD	16.6304	2.5697	9.3953	0.4931
TCGA-55-6979_T_LUAD	82.6065	0.7776	1.9496	4.5774
TCGA-62-A472_T_LUAD	30.6571	1.2694	1.3077	5.2693
TCGA-55-8204_T_LUAD	17.279	0.5535	0.3377	1.8266
TCGA-62-8398_T_LUAD	12.6488	0.4268	0.9834	0.7703
TCGA-MP-A4TI_T_LUAD	60.1537	2.5634	4.6777	5.89
TCGA-05-4390_T_LUAD	36.2043	0.5437	0.5392	1.3393
TCGA-44-8120_T_LUAD	122.3964	0.423	3.4267	3.5625
TCGA-O1-A52J_T_LUAD	44.7432	0.3538	2.7836	13.8298
TCGA-67-6217_T_LUAD	28.5213	1.0929	4.4408	5.8264
TCGA-55-5899_T_LUAD	15.0057	0.8619	0.7265	7.9555
TCGA-MP-A4TK_T_LUAD	67.7393	1.5001	2.6253	7.9212
TCGA-MN-A4N4_T_LUAD	10.5572	0.6395	5.0315	1.7237
TCGA-73-4666_T_LUAD	11.9616	0.8073	1.0956	2.1332
TCGA-L4-A4E6_T_LUAD	64.9389	1.156	11.0054	6.1202
TCGA-55-8207_T_LUAD	57.6155	0.7499	6.2722	15.6374
TCGA-38-A44F_T_LUAD	33.8286	1.2775	7.9342	8.5752
TCGA-78-7536_T_LUAD	20.3812	0.3969	0.2573	0.3967
TCGA-05-4389_T_LUAD	31.4163	0.8954	1.2859	7.8527
TCGA-55-7281_T_LUAD	42.2218	0.3806	0.9623	24.417
TCGA-97-7547_T_LUAD	102.3784	0.1939	2.9299	4.4174
TCGA-62-8394_T_LUAD	45.1162	0.1817	0.8932	1.1148
TCGA-86-8668_T_LUAD	51.1615	0.6859	2.3579	7.4565
TCGA-50-5939_T_LUAD	17.6412	0.207	2.0941	1.6939
TCGA-38-7271_T_LUAD	86.2034	1.226	12.8384	5.0085
TCGA-49-AARQ_T_LUAD	6.2055	0.7782	1.1028	1.832
TCGA-64-1678_T_LUAD	10.9057	0.2517	0.22	0.323
TCGA-49-AAR3_T_LUAD	59.9944	1.6419	2.6261	1.231
TCGA-05-4395_T_LUAD	5.5758	0.2213	0.1382	3.1237
TCGA-44-A479_T_LUAD	27.1782	2.5478	3.3058	0.3589
TCGA-49-4514_T_LUAD	9.9209	0.1517	0.6607	0.575
TCGA-62-A46S_T_LUAD	31.1588	0.7725	1.3891	2.3143
TCGA-55-A490_T_LUAD	157.0709	0.5342	0.378	4.3421
TCGA-97-7938_T_LUAD	28.3952	0.4972	2.6341	5.9991
TCGA-55-8097_T_LUAD	49.5112	0.7059	5.8421	10.6326
TCGA-55-8208_T_LUAD	53.717	1.0713	4.9481	2.6063
TCGA-69-7974_T_LUAD	90.0499	0.6498	1.2684	11.7772
TCGA-55-6968_T_LUAD	10.812	1.0854	2.1719	0.688
TCGA-05-4415_T_LUAD	9.9455	0.3718	0.2089	1.2652
TCGA-44-6145_T_LUAD	16.4014	1.6783	2.1509	3.571
TCGA-44-7667_T_LUAD	12.6326	0.3355	0.419	0.1615
TCGA-97-7553_T_LUAD	57.5261	1.4825	2.3874	15.08
TCGA-78-7150_T_LUAD	14.9069	0.3222	0.1509	0.3101
TCGA-69-7763_T_LUAD	70.3876	0.5114	1.2071	3.1015
TCGA-95-7947_T_LUAD	39.7463	0.823	2.8629	0.9053
TCGA-55-8089_T_LUAD	18.5204	3.1214	2.2138	1.4439
TCGA-86-7711_T_LUAD	6.6825	0.8929	0.4575	0.5309
TCGA-55-8621_T_LUAD	71.6525	2.0705	4.0593	13.3532
TCGA-49-4501_T_LUAD	41.3238	0.7095	3.4976	7.2972
TCGA-L9-A8F4_T_LUAD	13.752	2.0282	8.4695	2.0954
TCGA-86-7953_T_LUAD	154.9693	0.5234	1.5032	5.1217
TCGA-38-4628_T_LUAD	57.2081	0.13	1.7387	8.2592
TCGA-55-A48Y_T_LUAD	54.4885	1.0766	0.7446	0.4484
TCGA-MP-A4T9_T_LUAD	179.3957	1.2291	4.1171	5.0108
TCGA-91-6835_T_LUAD	70.0925	5.4459	12.3449	8.0852
TCGA-50-6590_T_LUAD	36.1084	1.1132	2.227	0.9323
TCGA-95-7039_T_LUAD	29.9391	0.4868	1.1362	2.4328
TCGA-55-8206_T_LUAD	38.6147	0.5712	7.6674	23.0222
TCGA-44-7661_T_LUAD	143.9355	1.1065	3.9053	6.1664
TCGA-J2-A4AD_T_LUAD	6.7478	0.7503	1.4702	2.111
TCGA-75-6206_T_LUAD	42.4162	0.4263	1.6551	2.2383
TCGA-55-8616_T_LUAD	39.1807	0.5095	5.1251	2.5381
TCGA-50-5051_T_LUAD	26.5613	0.1382	0.559	2.1942
TCGA-97-A4M3_T_LUAD	36.9235	0.0931	0.7323	2.8895
TCGA-97-7552_T_LUAD	29.1798	2.3792	3.011	7.1879
TCGA-44-2657_T_LUAD	22.2123	1.9888	4.5709	6.7434
TCGA-97-8172_T_LUAD	73.0381	3.4239	16.9947	15.5575
